"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"594",1,4,1,2,1,4,1,2,1,4,1,2,1,4,1,2,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,1
"595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,2,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"596",2,5,2,3,2,4,2,4,2,6,2,3,3,5,2,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,2,NA,NA,NA,1
"597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,1,2,2,7,1,2,1,7,1,1,1,3,1,1,1,6,5,1,2,NA,NA,NA,NA,NA,NA,1,4,4,0
"598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"599",7,7,7,7,7,7,7,7,7,7,7,7,5,4,3,4,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,1
"600",4,3,1,5,5,6,3,6,5,4,2,5,5,4,2,5,4,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,3,5,NA,NA,NA,1
"601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,3,3,3,1,1,1,2,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,1,0
"602",2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,6,5,6,NA,NA,NA,1
"603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,1,1,1,4,1,1,1,4,1,2,1,4,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,1,3,2,0
"604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,4,3,4,3,5,3,5,2,3,2,5,3,4,3,3,1,1,1,NA,NA,NA,NA,NA,NA,1,2,4,0
"605",1,2,2,4,2,3,3,4,2,3,2,4,2,3,3,4,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,2,NA,NA,NA,1
"606",2,2,2,4,3,3,2,4,3,3,2,4,3,3,2,4,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,2,2,NA,NA,NA,1
"607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,6,6,6,2,6,6,6,2,6,6,6,2,6,6,6,2,6,3,6,3,NA,NA,NA,NA,NA,NA,2,2,4,0
"608",7,4,2,7,7,7,4,7,7,7,4,7,7,7,4,7,7,7,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,NA,NA,NA,1
"609",2,6,2,4,4,5,4,5,3,6,2,4,4,6,2,4,4,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,1,NA,NA,NA,1
"610",2,3,1,3,7,3,5,3,2,3,1,3,2,3,1,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,4,4,1,NA,NA,NA,1
"611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,3,6,5,4,6,1,1,2,3,2,2,2,2,2,2,2,3,3,4,5,NA,NA,NA,NA,NA,NA,2,2,2,0
"612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5,4,5,4,3,4,NA,NA,NA,NA,NA,NA,4,5,3,0
